music,age,link,subclass_s,tag_1,tag_2
에이트 - 심장이 없어,30,https://youtu.be/TE542TbVUhQ,2,슬픈,눈물
신효범 - 난 널 사랑해,30,https://youtu.be/xKMgJcA3Roo,2,애절한 ,소울풀 
에이트 - 잘가요 내사랑,30,https://youtu.be/XQIzyUTNphg,2,이별,그루비
SG 워너비 - Timeless,30,https://youtu.be/0pLa8NyS4Es,2,슬픈 ,소울풀
지아 - 술 한잔 해요,30,https://youtu.be/j2t_VmzuZSc,2,쓸쓸한,애절한
럼블피쉬 - 비와 당신,30,https://youtu.be/acdAWdnSKmE,2,이별,슬픈
정인 - 미워요,30,https://youtu.be/IF4W9IdGXDE,2,애절한,슬픈
화요비 - 어떤가요,30,https://youtu.be/VFBIjXiZhmw,2,눈물,애절한
백지영 - 총맞은것처럼,30,https://youtu.be/uSdlduWm4HM,2,애절한,소울풀 
YB -  나는나비,30,https://youtu.be/Ik9hLZsHU7g,3,힘나는,기분전환
이문세 - 알수없는 인생,30,https://youtu.be/QAZkOUXhpkU,3,기분전환,힘나는
토이(toy) - 좋은사람,30,https://youtu.be/NMVzm8fpRus,3,기분전환,멜로디
별 - 귀여워(with 10cm),30,https://youtu.be/Cgv9APUDlrY,3,기분전환 ,귀여운노래
럼블피쉬 - 으라차차,30,https://youtu.be/ucwpn56kiNI,3,기분전환,힘나는
조용필 - 그 겨울의 찻집,40,https://youtu.be/HAIB_Nzjf5w,1,애절한,쓸쓸한
추가열 - 나 같은 건 없는 건가요,40,https://youtu.be/akvqYjeUihw,1,쓸쓸한,그루브
심수봉 - 사랑밖엔 난 몰라,40,https://youtu.be/6eSAaUq6wDE,1,애절한,쓸쓸한
인순이 - 거위의 꿈,40,https://youtu.be/e-WOXDNRef0,1,소울풀,위로
현철 - 아미새,40,https://youtu.be/ueHuxxaFW_o,1,소울,쓸쓸한
장윤정 - 꽃,40,https://youtu.be/cwOnpWfsQ_s,1,소울,트로트
혜은이 - 당신은 모르실거야,40,https://youtu.be/bpiQLlRRiNk,1,잔잔한,트로트
나훈아 - 잡초,40,https://youtu.be/4AnO2YpqeRw,1,그루브 ,소울풀
조용필 - 킬리만자로의 표범,40,https://youtu.be/QX3fVJWL6zQ,1,감각적인,멜로디
녹색지대 - 사랑을 할꺼야,40,https://youtu.be/G37MtPxkh7Q,1,잔잔한,멜로디
홍진영 - 산다는건,40,https://youtu.be/RYV1s0ylNFM,1,위로,트로트
장윤정 - 첫사랑,40,https://youtu.be/SgzAzlMMLRw,2,슬픈,애절한
최호섭 - 세월이 가면,40,https://youtu.be/0k0f5Z0aytY,2,애절한,소울풀
장혜리 - 내게 남은 사랑을 드릴께요,40,https://youtu.be/qMo9b7aVBiA,2,애절한 ,발라드
김현식 - 사랑했어요,40,https://youtu.be/vXq_pedCsBo,2,소울풀,발라드
조용필 - 이젠 그랬으면 좋겠네,40,https://youtu.be/fNSy9rnEgRg,2,애절한,발라드
최진희 - 꼬마인형,40,https://youtu.be/porRM5Httbg,2,슬픈,쓸쓸한
이선희 - 인연,40,https://youtu.be/kUJv343NHsU,2,슬픈,눈물
박정식 - 천년바위,40,https://youtu.be/0gnl56QaAOw,2,슬픈,쓸쓸한
나훈아 - 무시로,40,https://youtu.be/xJq7ESTh0cI,2,소울풀,애절한 =
노사연 - 만남,40,https://youtu.be/W1NTDvsK4sE,2,소울풀,애절한
노사연 - 바램,40,https://youtu.be/9PHIzu8lQsU,2,발라드,소울풀
장윤정 - 사랑아,40,https://youtu.be/LgmlU6CWXFg,3,신나는,기분전환
서주경 - 당돌한 여자,40,https://youtu.be/qMo9b7aVBiA,3,기분전환,밝은
윤태규 - MyWay,40,https://youtu.be/HfEH5ZfIqM8,3,힘나는,기분전환
홍진영 - 잘가라,40,https://youtu.be/ePRk5THh2Q8,3,기분전환,멜로디
소명 - 빠이빠이야,40,https://youtu.be/vYRSWUihKLY,3,신나는,기분전환
박상철 - 자옥아,40,https://youtu.be/t6as3cuIxJ4,3,기분전환,멜로디
태진아 - 동반자,40,https://youtu.be/9RTvvdWklCA,3,기분전환,신나는
이창용 - 당신이 최고야,40,https://youtu.be/pPDL0z9WTmQ,3,힘나는,기분전환
김수희 - 남행열차,40,https://youtu.be/l2-3oNt8k7U,3,신나는,기분전환
강진 - 화장을 지우는 여자,40,https://youtu.be/55OxfFRyA3A,3,기분전환,밝은
